Ticker,Name,PortfolioAction,Action,ScreenerAction,Reco,Score,YieldPct,DivGrowth5YPct,UpsideBestPct,Country,Sector,Industry,Weight,OwnedValue,OwnedShares,Price
ATO,Atmos Energy Corporation,HOLD,BUY,BUY,BUY,2.879,2.38%,9.0%,28.3%,United States,Utilities,Utilities - Regulated Gas,0,0,0,168.41
MKC,"McCormick & Company, Incorporat",HOLD,BUY,BUY,BUY,2.733,2.85%,7.6%,26.6%,United States,Consumer Defensive,Packaged Foods,0,0,0,67.42
PEP,"Pepsico, Inc.",HOLD,BUY,BUY,BUY,2.666,3.97%,6.9%,37.9%,United States,Consumer Defensive,Beverages - Non-Alcoholic,0,0,0,143.48
HD,"Home Depot, Inc. (The)",HOLD,BUY,BUY,BUY,2.64,2.42%,8.9%,30.8%,United States,Consumer Cyclical,Home Improvement Retail,0,0,0,379.74
OTIS,Otis Worldwide Corporation,HOLD,HOLD,HOLD,BUY,2.726,1.87%,22.4%,1.0%,United States,Industrials,Specialty Industrial Machinery,0,0,0,89.78
NDSN,Nordson Corporation,HOLD,HOLD,HOLD,BUY,2.697,1.24%,20.9%,-0.1%,United States,Industrials,Specialty Industrial Machinery,0,0,0,264.8
LOW,"Lowe's Companies, Inc.",HOLD,HOLD,HOLD,BUY,2.691,1.75%,15.9%,0.0%,United States,Consumer Cyclical,Home Improvement Retail,0,0,0,274.25
DE,Deere & Company,HOLD,HOLD,HOLD,HOLD,2.42,1.30%,16.3%,-0.2%,United States,Industrials,Farm & Heavy Construction Machinery,0,0,0,499.52
NOC,Northrop Grumman Corporation,HOLD,HOLD,HOLD,HOLD,2.22,1.48%,9.7%,-0.2%,United States,Industrials,Aerospace & Defense,0,0,0,625.5
ORSTED.CO,ORSTED A/S,HOLD,HOLD,HOLD,HOLD,2.134,nan%,8.4%,nan%,Denmark,Utilities,Utilities - Renewable,0,0,0,134.6
CINF,Cincinnati Financial Corporatio,HOLD,HOLD,HOLD,HOLD,2.125,2.16%,7.7%,1.9%,United States,Financial Services,Insurance - Property & Casualty,0,0,0,161.01
MRK,"Merck & Company, Inc.",HOLD,HOLD,HOLD,HOLD,2.083,3.14%,6.7%,3.1%,United States,Healthcare,Drug Manufacturers - General,0,0,0,108.26
CVX,Chevron Corporation,HOLD,HOLD,HOLD,HOLD,2.063,4.17%,5.8%,5.1%,United States,Energy,Oil & Gas Integrated,0,0,0,163.87
PFE,"Pfizer, Inc.",HOLD,HOLD,HOLD,HOLD,2.031,6.84%,3.6%,10.5%,United States,Healthcare,Drug Manufacturers - General,0,0,0,25.15
ITW,Illinois Tool Works Inc.,HOLD,HOLD,HOLD,HOLD,2.029,2.51%,7.1%,-0.1%,United States,Industrials,Specialty Industrial Machinery,0,0,0,256.76
AOS,A.O. Smith Corporation,HOLD,HOLD,HOLD,HOLD,2.026,1.96%,7.1%,-0.2%,United States,Industrials,Specialty Industrial Machinery,0,0,0,70.57
GD,General Dynamics Corporation,HOLD,HOLD,HOLD,HOLD,1.99,1.65%,6.5%,0.1%,United States,Industrials,Aerospace & Defense,0,0,0,363.3
ACN,Accenture plc,HOLD,HOLD,HOLD,HOLD,1.963,2.36%,6.2%,-0.2%,Ireland,Technology,Information Technology Services,0,0,0,276.8
PG,Procter & Gamble Company (The),HOLD,HOLD,HOLD,HOLD,1.954,2.93%,6.0%,0.1%,United States,Consumer Defensive,Household & Personal Products,0,0,0,144.24
PPG,"PPG Industries, Inc.",HOLD,HOLD,HOLD,HOLD,1.932,2.64%,5.8%,-0.0%,United States,Basic Materials,Specialty Chemicals,0,0,0,107.59
GPC,Genuine Parts Company,HOLD,HOLD,HOLD,HOLD,1.91,3.12%,5.4%,0.1%,United States,Consumer Cyclical,Auto Parts,0,0,0,131.97
LIN,Linde plc,HOLD,HOLD,HOLD,HOLD,1.904,1.35%,9.3%,0.3%,United Kingdom,Basic Materials,Specialty Chemicals,0,0,0,442.9
BF-B,Brown Forman Inc,HOLD,HOLD,HOLD,WATCH,1.898,3.46%,5.4%,-0.2%,United States,Consumer Defensive,Beverages - Wineries & Distilleries,0,0,0,26.35
JNJ,Johnson & Johnson,HOLD,HOLD,HOLD,WATCH,1.898,2.43%,5.2%,0.2%,United States,Healthcare,Drug Manufacturers - General,0,0,0,213.65
CARL-B.CO,Carlsberg B A/S,HOLD,HOLD,HOLD,WATCH,1.884,3.23%,5.2%,-0.1%,Denmark,Consumer Defensive,Beverages - Brewers,0,0,0,836.8
HON,Honeywell International Inc.,HOLD,HOLD,HOLD,WATCH,1.879,2.18%,5.1%,-0.1%,United States,Industrials,Conglomerates,0,0,0,210.28
SCHW,Charles Schwab Corporation (The,HOLD,HOLD,HOLD,WATCH,1.857,1.07%,8.4%,-11.0%,United States,Financial Services,Capital Markets,0,0,0,101.18
WM,"Waste Management, Inc.",HOLD,HOLD,HOLD,WATCH,1.843,1.53%,8.6%,-0.2%,United States,Industrials,Waste Management,0,0,0,216.18
ICE,Intercontinental Exchange Inc.,HOLD,HOLD,HOLD,WATCH,1.839,1.15%,9.9%,-4.0%,United States,Financial Services,Financial Data & Stock Exchanges,0,0,0,166.69
KO,Coca-Cola Company (The),HOLD,HOLD,HOLD,WATCH,1.838,2.86%,4.5%,0.1%,United States,Consumer Defensive,Beverages - Non-Alcoholic,0,0,0,71.24
TRYG.CO,Tryg A/S,HOLD,HOLD,HOLD,WATCH,1.79,5.15%,3.9%,-0.0%,Denmark,Financial Services,Insurance - Diversified,0,0,0,159.3
BLK,"BlackRock, Inc.",HOLD,HOLD,HOLD,WATCH,1.766,1.91%,7.5%,0.1%,United States,Financial Services,Asset Management,0,0,0,1089.54
